"name","split","no","class","team","conference","pos","gp","gs","ab","pa","r","h","2b","3b","hr","rbi","tb","k","bb","hbp","sf","sh","cs","sb","dp","avg","obp","slg","ops","iso","babip","woba","k%","bb%","hr%","rc"
"Addison Robertson","ALL","31","Sr","Earlham","HCAC","OF","31","21","82","93","9","13","2","1","0","8","17","26","10","1","0","0","3","11","2",".159",".258",".207",".465",".049",".232",".222",".280",".108",".000","4.33"
"Adrian Alvarez","ALL","11","So","Cornell College","MWC","OF","30","8","43","47","4","6","0","0","0","0","6","6","2","1","0","1","2","1","4",".140",".196",".140",".336",".000",".162",".158",".128",".043",".000","-1.41"
"Adrian Banales","ALL","13","Fr","Pomona-Pitzer","SCIAC","0","12","10","33","44","8","6","1","0","0","7","7","11","10","1","0","0","0","0","2",".182",".386",".212",".598",".030",".273",".303",".250",".227",".000","3.67"
"Adrian Bethel","ALL","13","So","Northland","UMAC","OF","35","34","117","135","24","42","15","0","3","31","66","35","11","3","3","1","0","7","2",".359",".418",".564",".982",".205",".476",".418",".259",".081",".022","26.78"
"Adrian Tapia","ALL","9","Fr","Geneva","PAC","SS","10","6","25","27","1","3","0","0","0","0","3","5","1","1","0","0","1","0","2",".120",".185",".120",".305",".000",".150",".151",".185",".037",".000","-1.00"
"Aidan French","ALL","4","So","Wentworth","CCC","INF","32","32","112","134","25","37","5","0","2","14","48","25","14","6","0","2","1","16","1",".330",".432",".429",".861",".098",".412",".382",".187",".104",".015","24.70"
"Aidan Hagarty","ALL","38","Sr","JWU (Providence)","Great Northeast","RF","31","30","104","121","18","30","6","1","5","25","53","35","10","6","1","0","0","0","1",".288",".380",".510",".890",".221",".385",".388",".289",".083",".041","20.08"
"Aidan Scott","ALL","18","Jr","Babson","NEWMAC","C","15","12","46","51","6","13","1","1","0","6","16","8","1","2","1","1","0","1","2",".283",".320",".348",".668",".065",".333",".290",".157",".020",".000","5.25"
"Aiden Finch","ALL","33","Sr","Rochester (NY)","Liberty League","C","45","45","158","189","37","56","16","1","4","36","86","18","20","7","4","0","2","1","8",".354",".439",".544",".983",".190",".371",".425",".095",".106",".021","34.51"
"AJ Bratton","ALL","8","So","Belhaven","ASC","C","23","20","60","69","10","16","2","0","0","4","18","6","7","1","0","1","4","2","1",".267",".353",".300",".653",".033",".296",".298",".087",".101",".000","6.18"
"AJ Brosious","ALL","32","Fr","Moravian","Landmark","1B","24","10","51","65","8","10","1","0","1","10","14","13","11","1","2","0","0","1","1",".196",".338",".275",".613",".078",".231",".289",".200",".169",".015","6.21"
"AJ Cavossa","ALL","17","Jr","Colby-Sawyer","Great Northeast","P","30","25","58","68","2","12","2","2","0","12","18","17","5","1","3","1","1","1","1",".207",".269",".310",".579",".103",".273",".251",".250",".074",".000","4.96"
"AJ Dhus","ALL","38","So","Wheaton (IL)","CCIW","INF","17","8","29","34","3","9","1","1","0","6","12","10","4","0","1","0","0","0","0",".310",".382",".414",".796",".103",".450",".349",".294",".118",".000","5.21"
"AJ Gill","ALL","15","Jr","Aurora","NACC","P","45","45","171","208","45","58","9","4","10","52","105","34","26","4","7","0","1","2","3",".339",".423",".614","1.037",".275",".358",".437",".163",".125",".048","43.26"
"AJ King","ALL","10","Fr","Johns Hopkins","Centennial","C","35","31","121","145","26","40","6","0","1","21","49","17","15","4","2","3","0","2","12",".331",".415",".405",".820",".074",".371",".361",".117",".103",".007","19.11"
"AJ Morioka","ALL","1","So","Puget Sound","NWC","SS","18","6","36","38","2","8","2","0","1","4","13","6","2","0","0","0","0","0","0",".222",".263",".361",".624",".139",".241",".276",".158",".053",".026","3.40"
"AJ Yurista","ALL","28","So","FDU- Florham","MAC Freedom","INF","35","28","104","119","14","37","4","0","0","15","41","15","6","7","2","0","1","2","1",".356",".420",".394",".814",".038",".407",".367",".126",".050",".000","19.37"
"Alan Guild","ALL","36","Jr","Middlebury","NESCAC","INF","26","17","76","86","15","15","5","0","1","9","23","16","6","3","1","0","1","3","1",".197",".279",".303",".582",".105",".233",".265",".186",".070",".012","6.48"
"Alan Mackey","ALL","17","Jr","Mount Aloysius","AMCC","C","12","11","34","46","11","9","5","0","1","12","17","8","5","5","2","0","1","0","3",".265",".413",".500",".913",".235",".296",".395",".174",".109",".022","6.19"
"Alan Merkle","ALL","1","So","Millsaps","SAA","OF","31","18","62","75","12","12","2","1","0","2","16","24","9","2","0","2","2","3","0",".194",".315",".258",".573",".065",".316",".264",".320",".120",".000","5.82"
