"name","split","no","class","team","conference","pos","gp","gs","ab","pa","r","h","2b","3b","hr","rbi","tb","k","bb","hbp","sf","sh","cs","sb","dp","avg","obp","slg","ops","iso","babip","woba","k%","bb%","hr%","rc"
"Adam Tulley","ALL","15","Sr","MSU Denver","RMAC","INF","10","0","10","10","3","3","1","0","0","0","4","3","0","0","0","0","0","0","1",".300",".300",".400",".700",".100",".429",".305",".300",".000",".000","0.77"
"Adam Turner","ALL","9","Jr","Saginaw Valley","GLIAC","OF","46","43","140","174","31","42","9","0","6","36","69","41","20","12","2","0","0","1","0",".300",".425",".493",".918",".193",".379",".405",".236",".115",".034","31.46"
"Adam Vonderschmidt","ALL","13","So","Coker","SAC","OF","5","0","6","7","1","1","0","0","0","1","1","3","1","0","0","0","1","0","0",".167",".286",".167",".453",".000",".333",".226",".429",".143",".000","-0.00"
"Adanskee Henry","ALL","15","So","Lane","SIAC","INF","12","1","10","11","6","2","0","0","0","1","2","6","1","0","0","0","0","1","0",".200",".273",".200",".473",".000",".500",".225",".545",".091",".000","0.73"
"Adarius Moody","ALL","25","Jr","Virginia St.","DII Independent","C","18","13","37","44","6","8","3","0","0","2","11","16","6","1","0","0","0","1","1",".216",".341",".297",".638",".081",".381",".298",".364",".136",".000","4.07"
"Addison Meeks","ALL","4","N/A","Bluefield St.","DII Independent","P","15","6","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","1.000",".000","1.000",".000",".000",".690",".000","1.000",".000","0.34"
"Adonis Garcia","ALL","9","Sr","Mercy","ECC","OF","46","46","164","188","25","46","8","2","3","24","67","37","20","1","2","1","2","3","1",".280",".358",".409",".767",".128",".341",".338",".197",".106",".016","25.50"
"Adrian Castillo","ALL","7","Jr","Tex. A&M Int'l","Heartland","RF","35","29","93","114","21","28","10","0","1","14","41","15","14","2","3","2","0","1","0",".301",".393",".441",".834",".140",".338",".360",".132",".123",".009","17.74"
"Adrian Dema","ALL","37","Fr","Jefferson","CACC","1B","3","1","6","6","0","1","0","0","0","0","1","2","0","0","0","0","0","0","1",".167",".167",".167",".334",".000",".250",".148",".333",".000",".000","-0.32"
"Adrian Martinez","ALL","27","Jr","Colorado St.-Pueblo","RMAC","OF","39","26","98","112","24","30","3","2","1","17","40","21","8","3","1","2","0","3","1",".306",".373",".408",".781",".102",".377",".341",".188",".071",".009","16.57"
